Time,Colony,Area,Population,Resources
93,2,40,9,70
94,0,34,9,50
94,1,81,18,70
94,2,40,9,70
95,0,34,9,50
95,1,82,18,80
95,2,40,9,70
96,0,34,9,50
96,1,82,18,80
96,2,40,9,70
97,0,34,9,50
97,1,82,18,80
97,2,40,9,70
98,0,34,9,50
98,1,82,18,80
98,2,40,9,70
99,0,34,9,50
99,1,82,18,80
99,2,40,9,70
100,0,34,9,50
100,1,82,18,80
100,2,40,9,70
101,0,34,9,50
101,1,82,18,80
101,2,40,9,70
102,0,34,9,50
102,1,82,18,80
102,2,40,9,70
103,0,34,9,50
103,1,82,18,80
103,2,40,9,70
104,0,34,9,50
104,1,82,18,80
104,2,40,9,70
105,0,34,9,50
105,1,82,18,80
105,2,40,9,70
106,0,34,9,50
106,1,83,18,90
106,2,41,9,80
107,0,34,9,50
107,1,84,19,50
107,2,41,9,80
108,0,34,9,50
108,1,84,19,50
108,2,41,9,80
109,0,34,9,50
109,1,84,19,50
109,2,41,9,80
110,0,34,9,50
110,1,84,19,50
110,2,41,9,80
111,0,34,9,50
111,1,84,19,50
111,2,41,9,80
112,0,34,9,50
112,1,84,19,50
112,2,41,9,80
113,0,34,9,50
113,1,84,19,50
113,2,41,9,80
114,0,34,9,50
114,1,84,19,50
114,2,41,9,80
115,0,34,9,50
115,1,84,19,50
115,2,41,9,80
116,0,34,9,50
116,1,84,19,50
116,2,41,9,80
117,0,34,9,50
117,1,84,19,50
117,2,42,9,90
118,0,34,9,50
118,1,84,19,50
118,2,42,9,90
119,0,34,9,50
119,1,85,19,60
119,2,42,9,90
120,0,34,9,50
120,1,86,19,70
120,2,42,9,90
121,0,34,9,50
121,1,86,19,70
121,2,42,9,90
122,0,34,9,50
122,1,86,19,70
122,2,42,9,90
123,0,34,9,50
123,1,86,19,70
123,2,42,9,90
124,0,34,9,50
124,1,86,19,70
124,2,42,9,90
125,0,34,9,50
125,1,86,19,70
125,2,42,9,90
126,0,34,9,50
126,1,86,19,70
126,2,42,9,90
127,0,34,9,50
127,1,86,19,70
127,2,42,9,90
128,0,34,9,50
128,1,86,19,70
128,2,42,9,90
129,0,34,9,50
129,1,86,19,70
129,2,42,9,90
130,0,34,9,50
130,1,86,19,70
130,2,42,9,90
131,0,34,9,50
131,1,87,19,80
131,2,42,9,90
132,0,34,9,50
132,1,87,19,80
132,2,42,9,90
133,0,34,9,50
133,1,87,19,80
133,2,42,9,90
134,0,34,9,50
134,1,87,19,80
134,2,43,9,100
135,0,34,9,50
135,1,87,19,80
135,2,43,9,100
136,0,34,9,50
136,1,87,19,80
136,2,43,10,50
137,0,34,9,50
137,1,87,19,80
137,2,43,10,50
138,0,34,9,50
138,1,87,19,80
138,2,43,10,50
139,0,34,9,50
139,1,87,19,80
139,2,43,10,50
140,0,34,9,50
140,1,87,19,80
140,2,43,10,50
141,0,34,9,50
141,1,87,19,80
141,2,43,10,50
142,0,34,9,50
142,1,87,19,80
142,2,43,10,50
143,0,34,9,50
143,1,87,19,80
143,2,43,10,50
144,0,34,9,50
144,1,87,19,80
144,2,43,10,50
145,0,34,9,50
145,1,87,19,80
145,2,43,10,50
146,0,34,9,50
146,1,87,19,80
146,2,43,10,50
147,0,34,9,50
147,1,87,19,80
147,2,43,10,50
148,0,34,9,50
148,1,88,19,90
148,2,43,10,50
149,0,35,9,60
149,1,89,19,100
149,2,43,10,50
150,0,36,9,70
150,1,89,20,50
150,2,43,10,50
151,0,36,9,70
151,1,89,20,50
151,2,43,10,50
152,0,36,9,70
152,1,89,20,50
152,2,43,10,50
153,0,36,9,70
153,1,89,20,50
153,2,43,10,50
154,0,36,9,70
154,1,89,20,50
154,2,43,10,50
155,0,36,9,70
155,1,89,20,50
155,2,43,10,50
156,0,36,9,70
156,1,89,20,50
156,2,43,10,50
157,0,36,9,70
157,1,89,20,50
157,2,43,10,50
158,0,36,9,70
158,1,89,20,50
158,2,43,10,50
159,0,36,9,70
159,1,89,20,50
159,2,43,10,50
160,0,36,9,70
160,1,89,20,50
160,2,43,10,50
161,0,36,9,70
161,1,89,20,50
161,2,43,10,50
162,0,36,9,70
162,1,89,20,50
162,2,43,10,50
163,0,36,9,70
163,1,89,20,50
163,2,43,10,50
164,0,36,9,70
164,1,89,20,50
164,2,43,10,50
165,0,36,9,70
165,1,89,20,50
165,2,43,10,50
166,0,36,9,70
166,1,89,20,50
166,2,43,10,50
167,0,36,9,70
167,1,89,20,50
167,2,43,10,50
168,0,36,9,70
168,1,89,20,50
168,2,43,10,50
169,0,36,9,70
169,1,89,20,50
169,2,43,10,50
170,0,36,9,70
170,1,89,20,50
170,2,43,10,50
171,0,36,9,70
171,1,89,20,50
171,2,43,10,50
172,0,36,9,70
172,1,89,20,50
172,2,43,10,50
173,0,36,9,70
173,1,89,20,50
173,2,43,10,50
174,0,36,9,70
174,1,89,20,50
174,2,43,10,50
175,0,36,9,70
175,1,89,20,50
175,2,43,10,50
176,0,36,9,70
176,1,89,20,50
176,2,43,10,50
177,0,36,9,70
177,1,89,20,50
177,2,43,10,50
178,0,36,9,70
178,1,89,20,50
178,2,43,10,50
179,0,36,9,70
179,1,89,20,50
179,2,43,10,50
180,0,36,9,70
180,1,90,20,60
180,2,43,10,50
181,0,36,9,70
181,1,91,20,70
181,2,43,10,50
182,0,36,9,70
182,1,91,20,70
182,2,43,10,50
183,0,36,9,70
183,1,91,20,70
183,2,43,10,50
184,0,36,9,70
184,1,91,20,70
184,2,43,10,50
185,0,36,9,70
185,1,91,20,70
185,2,43,10,50
186,0,36,9,70
186,1,91,20,70
186,2,43,10,50
187,0,36,9,70
187,1,91,20,70
187,2,43,10,50
188,0,36,9,70
188,1,91,20,70
188,2,43,10,50
189,0,36,9,70
189,1,91,20,70
189,2,43,10,50
190,0,36,9,70
190,1,91,20,70
190,2,43,10,50
191,0,36,9,70
191,1,91,20,70
191,2,43,10,50
192,0,36,9,70
192,1,91,20,70
192,2,43,10,50
193,0,36,9,70
193,1,91,20,70
193,2,43,10,50
194,0,36,9,70
194,1,91,20,70
194,2,43,10,50
195,0,36,9,70
195,1,91,20,70
195,2,43,10,50
196,0,36,9,70
196,1,91,20,70
196,2,43,10,50
197,0,36,9,70
197,1,91,20,70
197,2,43,10,50
198,0,36,9,70
198,1,91,20,70
198,2,44,10,60
199,0,36,9,70
199,1,91,20,70
199,2,45,10,70
200,0,36,9,70
200,1,91,20,70
200,2,45,10,70
201,0,36,9,70
201,1,91,20,70
201,2,45,10,70
202,0,36,9,70
202,1,91,20,70
202,2,45,10,70
203,0,36,9,70
203,1,91,20,70
203,2,45,10,70
204,0,36,9,70
204,1,91,20,70
204,2,45,10,70
205,0,36,9,70
205,1,91,20,70
205,2,45,10,70
206,0,36,9,70
206,1,91,20,70
206,2,45,10,70
207,0,36,9,70
207,1,91,20,70
207,2,45,10,70
208,0,36,9,70
208,1,91,20,70
208,2,45,10,70
209,0,36,9,70
209,1,91,20,70
209,2,45,10,70
210,0,36,9,70
210,1,91,20,70
210,2,45,10,70
211,0,36,9,70
211,1,91,20,70
211,2,45,10,70
212,0,36,9,70
212,1,91,20,70
212,2,45,10,70
213,0,36,9,70
213,1,91,20,70
213,2,45,10,70
214,0,36,9,70
214,1,91,20,70
214,2,45,10,70
215,0,36,9,70
215,1,91,20,70
215,2,45,10,70
216,0,36,9,70
216,1,91,20,70
216,2,45,10,70
217,0,36,9,70
217,1,91,20,70
217,2,45,10,70
218,0,36,9,70
218,1,91,20,70
218,2,45,10,70
219,0,36,9,70
219,1,91,20,70
219,2,45,10,70
220,0,36,9,70
220,1,91,20,70
220,2,45,10,70
221,0,36,9,70
221,1,91,20,70
221,2,45,10,70
222,0,36,9,70
222,1,91,20,70
222,2,45,10,70
223,0,36,9,70
223,1,91,20,70
223,2,45,10,70
224,0,36,9,70
224,1,91,20,70
224,2,45,10,70
225,0,36,9,70
225,1,91,20,70
225,2,45,10,70
226,0,36,9,70
226,1,91,20,70
226,2,45,10,70
227,0,36,9,70
227,1,91,20,70
227,2,45,10,70
228,0,36,9,70
228,1,91,20,70
228,2,45,10,70
229,0,36,9,70
229,1,92,20,80
229,2,45,10,70
230,0,36,9,70
230,1,92,20,80
230,2,45,10,70
231,0,36,9,70
231,1,92,20,80
231,2,45,10,70
232,0,36,9,70
232,1,92,20,80
232,2,45,10,70
233,0,36,9,70
233,1,92,20,80
233,2,45,10,70
234,0,36,9,70
234,1,92,20,80
234,2,45,10,70
235,0,36,9,70
235,1,92,20,80
235,2,45,10,70
236,0,36,9,70
236,1,92,20,80
236,2,45,10,70
237,0,36,9,70
237,1,92,20,80
237,2,45,10,70
238,0,36,9,70
238,1,92,20,80
238,2,46,10,80
239,0,36,9,70
239,1,93,20,90
239,2,47,10,90
240,0,36,9,70
240,1,93,20,90
240,2,47,10,90
241,0,36,9,70
241,1,93,20,90
241,2,47,10,90
242,0,36,9,70
242,1,93,20,90
242,2,48,11,50
243,0,36,9,70
243,1,93,20,90
243,2,48,11,50
244,0,36,9,70
244,1,93,20,90
244,2,48,11,50
245,0,36,9,70
245,1,93,20,90
245,2,48,11,50
246,0,36,9,70
246,1,94,21,50
246,2,48,11,50
247,0,36,9,70
247,1,94,21,50
247,2,48,11,50
248,0,36,9,70
248,1,94,21,50
248,2,48,11,50
249,0,36,9,70
249,1,94,21,50
249,2,49,11,60
250,0,36,9,70
250,1,94,21,50
250,2,50,11,70
