step,colony_id,population,area,resources
246,0,219,2046,12130
247,0,220,2052,12140
248,0,221,2059,12160
249,0,222,2067,12190
250,0,223,2070,12170
251,0,224,2073,12150
1,1,5,1,0
2,1,5,6,10
3,1,5,8,30
4,1,5,12,70
5,1,6,15,50
6,1,6,17,70
7,1,6,20,100
8,1,6,21,110
9,1,6,22,120
10,1,7,23,80
11,1,8,26,60
12,1,8,27,70
13,1,9,31,60
14,1,9,35,100
15,1,9,38,130
16,1,10,43,130
17,1,11,45,100
18,1,12,47,70
19,1,13,53,80
20,1,14,59,90
21,1,15,62,70
22,1,15,64,90
23,1,16,68,80
24,1,17,72,70
25,1,18,77,70
26,1,19,83,80
27,1,20,90,100
28,1,21,95,100
29,1,22,102,120
30,1,23,108,130
31,1,24,113,130
32,1,25,119,140
33,1,26,127,170
34,1,26,132,220
35,1,27,138,230
36,1,28,143,230
37,1,29,149,240
38,1,29,157,200
39,1,30,159,170
40,1,30,163,210
41,1,30,165,170
42,1,29,167,140
43,1,30,170,120
44,1,30,174,160
45,1,30,178,100
46,1,30,182,90
47,1,31,184,60
48,1,31,186,80
49,1,31,190,70
50,1,29,192,80
51,1,29,192,80
52,1,30,196,70
53,1,29,198,90
54,1,29,200,60
55,1,30,206,70
56,1,29,214,-10
57,1,29,219,40
58,1,27,222,30
59,1,27,227,80
60,1,28,229,50
61,1,29,234,50
62,1,30,241,70
63,1,28,242,-90
64,1,28,246,-50
65,1,27,254,-10
66,1,27,256,10
67,1,26,258,10
68,1,25,262,-50
69,1,25,266,-10
70,1,24,274,-180
71,1,24,273,-190
72,1,24,275,-170
73,1,24,275,-170
74,1,23,277,-150
75,1,23,281,-110
76,1,23,286,-60
77,1,23,290,-20
78,1,22,293,-100
79,1,22,294,-90
80,1,22,297,-60
81,1,22,298,-50
82,1,22,296,-70
83,1,21,298,-180
84,1,20,302,-150
85,1,20,302,-150
86,1,19,303,-170
87,1,19,308,-120
88,1,19,314,-60
89,1,19,318,-20
90,1,19,316,-40
91,1,19,314,-60
92,1,19,313,-70
93,1,19,315,-50
94,1,19,313,-70
95,1,19,316,-40
96,1,19,317,-30
97,1,19,318,-20
98,1,19,320,0
99,1,19,320,0
100,1,19,319,-10
101,1,19,319,-10
102,1,18,322,-40
103,1,18,325,-10
104,1,18,325,-10
105,1,18,327,10
106,1,18,332,60
107,1,18,332,60
108,1,18,331,50
109,1,17,332,-130
110,1,17,332,-130
111,1,17,333,-120
112,1,17,334,-110
113,1,17,332,-130
114,1,16,332,-580
115,1,16,334,-560
116,1,15,334,-590
117,1,15,334,-590
118,1,15,334,-590
119,1,15,331,-620
120,1,14,331,-700
121,1,14,331,-700
122,1,14,329,-720
123,1,13,328,-840
124,1,13,328,-840
125,1,13,329,-830
126,1,13,330,-820
127,1,13,329,-830
128,1,12,331,-820
129,1,12,330,-830
130,1,12,328,-850
131,1,12,329,-840
132,1,12,330,-830
133,1,11,328,-930
134,1,11,325,-960
135,1,11,324,-970
136,1,11,323,-980
137,1,11,322,-990
138,1,11,322,-990
139,1,11,322,-990
140,1,11,320,-1010
141,1,10,318,-1410
142,1,10,316,-1430
143,1,10,314,-1450
144,1,10,314,-1450
145,1,10,313,-1460
146,1,10,312,-1470
147,1,10,313,-1460
148,1,10,312,-1470
149,1,10,310,-1490
150,1,10,308,-1510
151,1,9,307,-1680
152,1,9,304,-1710
153,1,9,301,-1740
154,1,9,303,-1720
155,1,9,303,-1720
156,1,9,302,-1730
157,1,8,298,-2070
158,1,7,296,-2700
159,1,7,295,-2710
160,1,7,297,-2690
161,1,6,297,-3310
162,1,6,296,-3320
163,1,6,292,-3360
164,1,6,289,-3390
165,1,6,288,-3400
166,1,6,288,-3400
167,1,6,287,-3410
168,1,6,286,-3420
169,1,6,282,-3460
170,1,6,280,-3480
171,1,5,278,-3540
172,1,5,276,-3560
173,1,5,275,-3570
174,1,5,273,-3590
175,1,5,268,-3640
176,1,4,264,-3940
177,1,4,262,-3960
178,1,4,259,-3990
179,1,4,257,-4010
180,1,3,253,-4360
181,1,3,252,-4370
182,1,2,252,-4410
183,1,2,253,-4400
184,1,2,247,-4460
185,1,2,244,-4490
186,1,2,240,-4530
187,1,2,238,-4550
188,1,2,235,-4580
189,1,2,230,-4630
190,1,2,227,-4660
191,1,2,225,-4680
192,1,2,224,-4690
193,1,2,216,-4770
194,1,2,212,-4810
195,1,2,209,-4840
196,1,2,205,-4880
197,1,1,199,-5220
198,1,1,194,-5270
199,1,1,193,-5280
200,1,1,189,-5320
201,1,1,187,-5340
202,1,1,184,-5370
203,1,1,179,-5420
204,1,1,173,-5480
205,1,1,171,-5500
206,1,1,168,-5530
207,1,1,164,-5570
208,1,1,160,-5610
209,1,1,157,-5640
210,1,1,155,-5660
211,1,1,150,-5710
212,1,1,144,-5770
213,1,1,143,-5780
214,1,1,140,-5810
215,1,1,140,-5810
216,1,1,135,-5860
217,1,1,132,-5890
218,1,1,129,-5920
219,1,1,127,-5940
220,1,1,124,-5970
221,1,1,121,-6000
222,1,1,118,-6030
223,1,1,113,-6080
224,1,1,111,-6100
225,1,1,108,-6130
226,1,1,107,-6140
227,1,1,105,-6160
228,1,1,102,-6190
